Linux 2.6.18-400.el5 (prodsvr01) 	10/31/2016

12:00:02 AM       CPU     %user     %nice   %system   %iowait    %steal     %idle
12:05:01 AM       all      8.85      0.00      4.48      0.97      0.00     85.70
12:10:01 AM       all      3.58      0.00      4.38      2.25      0.00     89.79
12:15:01 AM       all      4.42      0.00      5.64      6.02      0.00     83.92
12:20:01 AM       all      5.56      0.54      6.01      2.84      0.00     85.06
12:25:01 AM       all      3.92      0.00      4.03      0.71      0.00     91.34
12:30:02 AM       all      7.40      0.00      8.29      0.38      0.00     83.94
12:35:01 AM       all      8.14      0.00      6.35      1.78      0.00     83.73
12:40:01 AM       all      4.54      0.00      4.50      0.36      0.00     90.59
12:45:01 AM       all     19.42      0.00     13.95      0.70      0.00     65.93
12:50:02 AM       all     60.70      0.00     37.97      0.19      0.00      1.15
12:55:02 AM       all     61.96      0.00     37.46      0.04      0.00      0.54
01:00:01 AM       all     61.58      0.00     38.08      0.03      0.00      0.31
01:05:01 AM       all     61.26      0.00     37.72      0.09      0.00      0.93
01:10:01 AM       all     61.22      0.00     37.82      0.09      0.00      0.87
01:15:01 AM       all     59.24      0.00     40.27      0.05      0.00      0.45
01:20:01 AM       all     55.62      0.81     36.41      0.65      0.00      6.51
01:25:02 AM       all     61.13      0.00     38.13      0.07      0.00      0.67
01:30:01 AM       all     60.80      0.00     39.03      0.01      0.00      0.16
01:35:01 AM       all     59.58      0.00     40.32      0.01      0.00      0.09
01:40:01 AM       all     59.37      0.00     40.59      0.00      0.00      0.03
01:45:01 AM       all     61.35      0.00     38.51      0.01      0.00      0.13
01:50:01 AM       all     33.44      0.00     24.67      0.43      0.00     41.46
01:55:01 AM       all      6.31      0.00      8.16      0.30      0.00     85.23
02:00:01 AM       all      5.31      0.00      6.31      0.61      0.00     87.77
02:05:01 AM       all      3.81      0.00      5.33      0.35      0.00     90.51
02:10:01 AM       all     19.39      0.00     13.04      2.18      0.00     65.39
02:15:01 AM       all     30.51      0.00     20.32      2.94      0.00     46.22
02:20:01 AM       all     11.23      0.59      8.46      2.05      0.00     77.66
02:25:01 AM       all      3.14      0.00      3.79      0.28      0.00     92.79
02:30:01 AM       all      3.79      0.00      4.28      0.38      0.00     91.54
02:35:01 AM       all      6.57      0.00      5.31      0.35      0.00     87.76
02:40:01 AM       all     11.46      0.00      8.13      0.58      0.00     79.83
02:45:01 AM       all     14.07      0.00      9.44      0.50      0.00     75.99
02:50:01 AM       all     13.08      0.00      9.40      1.42      0.00     76.09
02:55:01 AM       all     10.88      0.00     10.26      0.64      0.00     78.22
03:00:01 AM       all     10.98      0.00     12.74      0.57      0.00     75.71
03:05:02 AM       all     16.43      0.00     12.38      0.73      0.00     70.47
03:10:01 AM       all     16.63      0.00     12.33      0.74      0.00     70.30
03:15:01 AM       all     13.58      0.00     10.20      0.60      0.00     75.63
03:20:01 AM       all      9.26      0.56      8.20      0.52      0.00     81.47
03:25:01 AM       all     11.38      0.00     10.55      0.45      0.00     77.62
03:30:01 AM       all     14.75      0.00     11.19      0.66      0.00     73.40
03:35:01 AM       all     15.25      0.00     11.87      0.56      0.00     72.31
03:40:01 AM       all     18.63      0.00     13.26      0.61      0.00     67.51
03:45:01 AM       all     25.16      0.00     15.74      0.99      0.00     58.11
03:50:01 AM       all     20.51      0.00     13.88      0.87      0.00     64.74
03:55:02 AM       all     24.92      0.00     17.59      0.77      0.00     56.71
04:00:01 AM       all     28.85      0.00     20.25      0.66      0.00     50.24
04:05:02 AM       all     44.20      0.00     30.79      1.96      0.00     23.05
04:10:01 AM       all     37.75      0.02     36.56      3.48      0.00     22.19
04:15:01 AM       all     49.25      0.03     30.81      9.06      0.00     10.84
04:20:01 AM       all     32.26      0.65     21.18     15.57      0.00     30.34
04:25:01 AM       all     11.96      0.06      8.91     22.24      0.00     56.82
04:30:01 AM       all      9.63      0.07      8.84     21.97      0.00     59.47
04:35:01 AM       all      6.46      0.11      8.62     22.04      0.00     62.76
04:40:01 AM       all      3.49      0.02      3.71      0.58      0.00     92.20
04:45:01 AM       all      3.95      0.00      4.09      0.15      0.00     91.81
04:50:01 AM       all      6.58      0.00      7.18      0.48      0.00     85.75
04:55:01 AM       all     12.59      0.00     15.51      1.13      0.00     70.77
05:00:02 AM       all     14.84      0.00     14.92      0.32      0.00     69.92
05:05:01 AM       all      7.73      0.00      7.81      0.42      0.00     84.04
05:10:01 AM       all     23.30      0.00     14.83      0.62      0.00     61.25
05:15:01 AM       all     29.32      0.00     21.69      0.43      0.00     48.56
05:20:01 AM       all     46.60      0.77     37.83      0.30      0.00     14.50
05:25:01 AM       all     41.20      0.00     28.25      0.56      0.00     29.99
